timestamp,forecast,actual,deviation,pct_deviation,penalty,is_peak,cumulative_penalty,base_forecast
2021-05-01 00:00:00,1489.1194310803428,1497.595644,-8.4762129196572,-0.565988085877285,16.9524258393144,0,16.9524258393144,1492.722554487727
2021-05-01 00:15:00,1468.112956817739,1486.8316,-18.718643182261076,-1.258961887967748,37.43728636452215,0,54.38971220383655,1471.6652522542145
2021-05-01 00:30:00,1440.033629410836,1471.433672,-31.40004258916383,-2.133976079702207,62.80008517832766,0,117.18979738216422,1443.517983163299
2021-05-01 00:45:00,1424.59376939002,1450.29198,-25.698210609979924,-1.7719335805731977,51.39642121995985,0,168.58621860212406,1428.040764338423
2021-05-01 01:00:00,1391.5737561135895,1426.577508,-35.003751886410555,-2.453687352430244,70.00750377282111,0,238.59372237494517,1394.9408547284513
2021-05-01 01:15:00,1368.725237500072,1401.945804,-33.220566499928054,-2.369604189059512,66.44113299985611,0,305.0348553748013,1372.037051071624
2021-05-01 01:30:00,1346.8669089648747,1375.595868,-28.7289590351254,-2.0884737809582745,57.4579180702508,0,362.4927734450521,1350.1258333902995
2021-05-01 01:45:00,1316.8176683939282,1350.70386,-33.88619160607186,-2.5087802448474426,67.77238321214372,0,430.2651566571958,1320.003884667263
2021-05-01 02:00:00,1302.359587512378,1327.880756,-25.521168487621935,-1.9219473113308627,51.04233697524387,0,481.3074936324397,1305.5108205274444
2021-05-01 02:15:00,1281.459448380046,1306.418524,-24.959075619953865,-1.910496151228323,49.91815123990773,0,531.2256448723474,1284.5601107162577
2021-05-01 02:30:00,1259.8224505441353,1284.294708,-24.472257455864565,-1.9055016970345224,48.94451491172913,0,580.1701597840765,1262.870759273416
2021-05-01 02:45:00,1241.9114389305946,1266.018112,-24.10667306940536,-1.9041333485602898,48.21334613881072,0,628.3835059228873,1244.916409574395
2021-05-01 03:00:00,1227.0409807000242,1247.148648,-20.1076672999759,-1.6122911516780074,40.2153345999518,0,668.598840522839,1230.009970283467
2021-05-01 03:15:00,1213.3920411539536,1230.41594,-17.02389884604645,-1.3835889387166465,34.0477976920929,0,702.646638214932,1216.328005304689
2021-05-01 03:30:00,1196.3033204951164,1213.721488,-17.418167504883513,-1.4351041550385335,34.836335009767026,0,737.482973224699,1199.197936203193
2021-05-01 03:45:00,1181.2459634216218,1198.5324,-17.286436578378243,-1.442300314816541,34.572873156756486,0,772.0558463814555,1184.1041458426212
2021-05-01 04:00:00,1165.6221785620874,1183.920584,-18.298405437912606,-1.5455771007958594,36.59681087582521,0,808.6526572572807,1168.4425571483073
2021-05-01 04:15:00,1160.1648746047679,1172.749356,-12.58448139523216,-1.073075106018831,25.16896279046432,0,833.821620047745,1162.9720485149764
2021-05-01 04:30:00,1154.6365193094039,1164.010588,-9.374068690596232,-0.8053250363214248,18.748137381192464,0,852.5697574289375,1157.4303166253962
2021-05-01 04:45:00,1151.8259260800644,1161.146516,-9.320589919935628,-0.8027057560353243,18.641179839871256,0,871.2109372688087,1154.6129227902477
2021-05-01 05:00:00,1161.033253702911,1164.126048,-3.0927942970890854,-0.26567520780095844,6.185588594178171,0,877.3965258629869,1163.8425287723614
2021-05-01 05:15:00,1155.7772811895948,1165.520304,-9.743022810405137,-0.8359376303413706,19.486045620810273,0,896.8825714837972,1158.5738387313602
2021-05-01 05:30:00,1158.0927467707118,1166.9248,-8.832053229288249,-0.7568656720028788,17.664106458576498,0,914.5466779423737,1160.894906890793
2021-05-01 05:45:00,1144.6850157616727,1158.7464,-14.061384238327264,-1.21349971299391,28.122768476654528,0,942.6694464190282,1147.454734085327
2021-05-01 06:00:00,1131.1009928279175,1149.273608,-18.172615172082487,-1.5812261802223937,36.345230344164975,0,979.0146767631932,1133.8378427932805
2021-05-01 06:15:00,1109.7213664905523,1130.91024,-21.188873509447603,-1.8736123133386435,42.37774701889521,0,1021.3924237820884,1112.4064855937095
2021-05-01 06:30:00,1095.5037584475779,1108.598828,-13.095069552422046,-1.1812270788745636,26.190139104844093,0,1047.5825628869325,1098.1544761486261
2021-05-01 06:45:00,1085.6954933502418,1092.795,-7.099506649758268,-0.6496650011903667,14.199013299516537,0,1061.781576186449,1088.3224786435192
2021-05-01 07:00:00,1077.3074197428118,1080.990968,-3.6835482571882494,-0.3407566174214556,7.367096514376499,0,1069.1486727008255,1079.9141089713632
2021-05-01 07:15:00,1075.8041577030094,1075.563972,0.2401857030095016,0.022331140616664465,0.4803714060190032,0,1069.6290441068445,1078.4072095882223
2021-05-01 07:30:00,1074.7931652767143,1074.126748,0.6664172767143555,0.0620427038015029,1.332834553428711,0,1070.9618786602732,1077.393770930685
2021-05-01 07:45:00,1071.6857455734187,1073.236392,-1.550646426581352,-0.14448321340386974,3.101292853162704,0,1074.063171513436,1074.278832410271
2021-05-01 08:00:00,1078.6884409478018,1073.355328,5.333112947801737,0.49686369543057196,10.666225895603475,0,1084.7293974090394,1081.298471741661
2021-05-01 08:15:00,1090.5129417501646,1080.418488,10.094453750164575,0.93430960894151,20.18890750032915,0,1104.9183049093685,1093.1515835034488
2021-05-01 08:30:00,1098.2316804558948,1089.253228,8.97845245589474,0.8242759557738707,17.95690491178948,0,1122.875209821158,1100.8889987286882
2021-05-01 08:45:00,1100.9298173701338,1096.473796,4.45602137013384,0.4063956098531186,8.91204274026768,0,1131.7872525614257,1103.5936641456578
2021-05-01 09:00:00,1117.009367689731,1104.577524,12.431843689731068,1.1254840352637003,24.863687379462135,0,1156.6509399408878,1119.7121210854546
2021-05-01 09:15:00,1123.922003140744,1113.87958,10.04242314074395,0.9015717067677953,20.0848462814879,0,1176.7357862223757,1126.641482581458
2021-05-01 09:30:00,1128.3073197144859,1123.139412,5.167907714485864,0.4601305643155423,10.335815428971728,0,1187.0716016513475,1131.037410014521
2021-05-01 09:45:00,1140.9286529757328,1130.711092,10.217560975732795,0.9036402886664876,20.43512195146559,0,1207.506723602813,1143.6892822777827
2021-05-01 10:00:00,1136.003401734263,1133.75696,2.246441734263044,0.19814138422250957,4.492883468526088,0,1211.9996070713391,1138.7521137329286
2021-05-01 10:15:00,1148.1071002666379,1138.83926,9.267840266637904,0.8137970468842025,18.53568053327581,0,1230.535287604615,1150.8850987809367
2021-05-01 10:30:00,1152.990996281079,1143.964424,9.026572281079098,0.7890605766844283,18.053144562158195,0,1248.5884321667731,1155.7808120342652
2021-05-01 10:45:00,1151.4215445237987,1146.900036,4.52150852379873,0.39423736872205745,9.04301704759746,0,1257.6314492143706,1154.207562778782
2021-05-01 11:00:00,1160.2116787729685,1151.091948,9.119730772968524,0.79226779309975,18.239461545937047,0,1275.8709107603077,1163.018965932115
2021-05-01 11:15:00,1161.8016755240924,1157.889364,3.9123115240925017,0.337883017646624,7.824623048185003,0,1283.6955338084927,1164.612809892799
2021-05-01 11:30:00,1159.1429575130958,1161.387392,-2.2444344869043107,-0.19325459380433074,4.488868973808621,0,1288.1844027823013,1161.9476587583745
2021-05-01 11:45:00,1158.9482982585143,1163.837024,-4.888725741485587,-0.4200524335171508,9.777451482971173,0,1297.9618542652724,1161.7525284997205
2021-05-01 12:00:00,1163.5240665736171,1164.342396,-0.8183294263828884,-0.07028254138938769,1.6366588527657768,0,1299.5985131180382,1166.3393684975767
2021-05-01 12:15:00,1173.6813683441333,1173.441124,0.2402443441333162,0.020473489399653613,0.4804886882666324,0,1300.0790018063049,1176.5212472167252
2021-05-01 12:30:00,1163.8926487923688,1168.505564,-4.612915207631204,-0.39477049572963807,9.225830415262408,0,1309.3048322215673,1166.7088425502486
2021-05-01 12:45:00,1178.2929772772402,1175.996584,2.296393277240213,0.19527210439926015,4.592786554480426,0,1313.8976187760477,1181.1440145537492
2021-05-01 13:00:00,1165.1937231183533,1173.300624,-8.106900881646652,-0.6909483141676614,16.213801763293304,0,1330.111420539341,1168.0130649993862
2021-05-01 13:15:00,1168.9527718424672,1172.225848,-3.2730761575328415,-0.2792189033467586,6.546152315065683,0,1336.6575728544067,1171.7812092440909
2021-05-01 13:30:00,1215.7092381057369,1193.095936,22.61330210573692,1.895346503446385,45.22660421147384,0,1381.8841770658805,1218.650809024071
2021-05-01 13:45:00,1221.7232969447155,1209.868348,11.854948944715488,0.9798544580749283,23.709897889430977,0,1405.5940749553115,1224.6794196818785
2021-05-01 14:00:00,1230.0733982923823,1218.284644,11.788754292382237,0.9676518825416826,23.577508584764473,0,1429.171583540076,1233.049725215316
2021-05-01 14:15:00,1239.1320628739588,1230.490448,8.641614873958815,0.7022902849838957,17.28322974791763,0,1446.4548132879936,1242.13030844607
2021-05-01 14:30:00,1251.5197581315565,1242.460696,9.059062131556402,0.7291226322668642,18.118124263112804,0,1464.5729375511064,1254.547977387319
2021-05-01 14:45:00,1273.2938467887636,1261.33934,11.954506788763638,0.9477629381450702,23.909013577527276,0,1488.4819511286337,1276.3747513610144
2021-05-01 15:00:00,1275.4941243888527,1270.410532,5.083592388852594,0.40015351422264445,10.167184777705188,0,1498.6491359063389,1278.5803528267102
2021-05-01 15:15:00,1265.104855738392,1269.531964,-4.427108261608055,-0.3487197161747126,8.85421652321611,0,1507.503352429555,1268.1659459527607
2021-05-01 15:30:00,1253.0123123977583,1262.211128,-9.198815602241666,-0.728785810723867,18.397631204483332,0,1525.9009836340383,1256.0441430879705
2021-05-01 15:45:00,1237.9144274122602,1249.063156,-11.148728587739697,-0.8925672440329109,22.297457175479394,0,1548.1984408095177,1240.9097267526977
2021-05-01 16:00:00,1221.8507604748513,1235.076308,-13.225547525148613,-1.0708283722618874,26.451095050297226,0,1574.649535859815,1224.8071916270544
2021-05-01 16:15:00,1208.9795634775533,1221.622116,-12.64255252244675,-1.0348987920947845,25.2851050448935,0,1599.9346409047084,1211.9048510490509
2021-05-01 16:30:00,1183.3559332005323,1198.971296,-15.615362799467675,-1.302396717216129,31.23072559893535,0,1631.1653665036438,1186.2192209753002
2021-05-01 16:45:00,1160.7544122623733,1179.498288,-18.743875737626695,-1.5891397154471065,37.48775147525339,0,1668.6531179788972,1163.5630126377057
2021-05-01 17:00:00,1147.4121613755333,1161.240424,-13.828262624466788,-1.1908182266712743,27.656525248933576,0,1696.3096432278307,1150.1884783923424
2021-05-01 17:15:00,1133.3738171051914,1145.783852,-12.410034894808632,-1.0831043632834014,24.820069789617264,0,1721.129713017448,1136.116166472539
2021-05-01 17:30:00,1121.1736819819562,1134.498252,-13.324570018043914,-1.1744901320521306,26.64914003608783,0,1747.7788530535358,1123.8865114924552
2021-05-01 17:45:00,1113.3277699281805,1122.6788,-9.351030071819423,-0.8329212301701451,18.702060143638846,0,1766.4809131971747,1116.0216152062646
2021-05-01 18:00:00,1108.4035968302585,1109.620076,-1.216479169741433,-0.10963024156219693,3.649437509224299,1,1770.130350706399,1114.1665271430675
2021-05-01 18:15:00,1110.5455494993398,1106.151284,4.394265499339781,0.3972571892200399,8.788530998679562,1,1778.9188817050785,1116.3196164811388
2021-05-01 18:30:00,1109.029247347712,1102.827164,6.202083347712005,0.5623803575182887,12.40416669542401,1,1791.3230484005026,1114.7954306094853
2021-05-01 18:45:00,1129.911564395746,1110.453744,19.457820395746012,1.7522405143735562,38.915640791492024,1,1830.2386891919946,1135.7863212296925
2021-05-01 19:00:00,1166.6340513045143,1133.6574,32.976651304514235,2.9088727603695994,65.95330260902847,1,1896.191991801023,1172.6997396128565
2021-05-01 19:15:00,1203.6405708982668,1170.839116,32.801454898266684,2.8015339127315833,65.60290979653337,1,1961.7949015975564,1209.8986674540636
2021-05-01 19:30:00,1241.7645417074132,1211.640736,30.123805707413112,2.486199482435783,60.247611414826224,1,2022.0425130123826,1248.2208564823218
2021-05-01 19:45:00,1253.0593813695405,1244.174112,8.885269369540538,0.7141499958761831,17.770538739081076,1,2039.8130517514637,1259.5744214806473
